0;FRIENDS OF SUZY GLOWIAK
1;SECURING LOUISIANAS FUTURE
2;FreedomWorks Inc
3;DOUG WARDLOW FOR ATTORNEY GENERAL
4;Fianna Fáil
5;CITIZENS FOR A STRONGER NEW JERSEY
6;FINANCE COMMITTEE FOR THOMAS OH
7;MCCONNELL SENATE COMMITTEE
8;PACIFIC CAMPAIGN HOUSE
9;KAMALA HARRIS FOR SENATE
10;Vänsterpartiet
11;MARK DESNOYER
12;DONALD J. TRUMP FOR PRESIDENT, INC.
13;CORY BOOKER FOR SENATE
14;HELLER FOR SENATE
15;AKULA SATYANARAYANA
16;DANA OUTLAW FOR CONGRESS
17;CENTER FORWARD
18;45COMMITTEE, INC.
19;LEAGUE OF CONSERVATION VOTERS ACTION FUND
20;DELGADO FOR CONGRESS
21;NEVADA STATE DEMOCRATIC PARTY
22;W.R.P.R., s.r.o.
23;MATT ROSENDALE FOR MONTANA
24;DR MANNY FOR US SENATE
25;Alternative für Deutschland (AfD) - Kreisverband Köln
26;PATRICK MURPHY FOR CONGRESS
27;Janika Takatalo
28;YES ON E, SAN FRANCISCANS FOR THE ARTS
29;GROHMAN FOR CONGRESS
30;COMMITTEE TO ELECT RICHARD OJEDA
31;KUSTOFF FOR CONGRESS
32;Progresívne Slovensko
33;Partidul Pro Romania
34;GINA ORTIZ JONES FOR CONGRESS
35;BARCELONA PEL CANVI - CIUTADANS
36;Aalborg Venstrevælger forening
37;ROHRABACHER FOR CONGRESS
38;WICKER FOR SENATE
39;MATT COX FOR NC SENATE
40;CAM CAVASSO 4 CONGRESS
41;BOB CASEY FOR SENATE INC
42;CHRISSY HOULAHAN FOR CONGRESS
43;ANGIE CRAIG FOR CONGRESS
44;Marinda Kimmel for House
45;THOM TILLIS COMMITTEE
46;DEDICATEDEMAILS.COM
47;AMMAR CAMPA FOR CONGRESS
48;GREAT AMERICA PAC
49;Ioannis Vardakastanis
50;GOP SCOUTS, INC.
51;Vapaus ry
52;American Leadership Committee
53;NÁRODNÁ KOALÍCIA
54;Arco Estrategias de Marketing, S.L.
55;Indian PAC Consulting Private Limited
56;FRIENDS OF GEORGE FLINN
57;DNC SERVICES CORP./DEM. NAT'L COMMITTEE
58;Evropa spole?n?
59;FUTURE45
60;Venstre på Østerbro
61;ROGER WILLIAMS FOR U S CONGRESS COMMITTEE
62;Salem Web Network, LLC
63;WALTERS FOR CONGRESS
64;MIKE BISHOP FOR CONGRESS
65;ANITA FOR ARIZONA
66;PENSLER FOR SENATE
67;Lietuvos Respublikos liberal? s?j?dis
68;GALE PARTNERS LLC
69;Freie Demokratische Partei (FDP)
70;JOSH HARDER FOR CONGRESS
71;TJ COX FOR CONGRESS
72;JASON LEWIS FOR CONGRESS, INC.
73;"UAB ""BPN LT"""
74;GEORGE SCOTT FOR CONGRESS
75;BALDERSON FOR CONGRESS
76;VERN BUCHANAN FOR CONGRESS
77;MULLIN FOR CONGRESS
78;MEDIA MATTERS FOR AMERICA
79;CATHY MCMORRIS RODGERS FOR CONGRESS
